url_path,views_total,views_unique
/vmhomelab/Printbuddy,17,1
/vmhomelab/printbuddy,14,6
/vmhomelab/printbuddy/issues/1,10,3
/vmhomelab/printbuddy/issues,5,1
/vmhomelab/printbuddy/tree/dev,4,2
/maziggy/bambuddy/compare/main...vmhomelab:printbuddy:main,3,3
/vmhomelab/printbuddy/blob/main/docs/screenshots/dashboard.png,3,1
/vmhomelab/bambuddy/blob/49c2d46c7af8474f76d27a4a78920838c5672133/install/windows-installer.ps1,2,1
/vmhomelab/printbuddy/actions,2,1
/vmhomelab/printbuddy/blob/main/docs/screenshots/printer-detail.png,2,1
