time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,524,52,52,12
2026-06-25 00:00:00+00:00,102,22,26,8
2026-06-26 00:00:00+00:00,19,7,27,7
2026-06-27 00:00:00+00:00,65,13,8,3
2026-06-28 00:00:00+00:00,58,12,4,3
2026-06-29 00:00:00+00:00,37,5,18,5
2026-06-30 00:00:00+00:00,18,6,16,6
2026-07-01 00:00:00+00:00,19,9,7,3
2026-07-02 00:00:00+00:00,16,6,2,1
2026-07-03 00:00:00+00:00,14,5,13,9
2026-07-04 00:00:00+00:00,17,6,39,5
2026-07-05 00:00:00+00:00,17,7,14,2
2026-07-06 00:00:00+00:00,26,8,14,11
2026-07-07 00:00:00+00:00,23,10,5,4
