time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,0,0,0,0
2026-05-29 00:00:00+00:00,50,13,0,0
2026-05-30 00:00:00+00:00,45,20,0,0
2026-05-31 00:00:00+00:00,2,2,0,0
2026-06-01 00:00:00+00:00,78,13,0,0
2026-06-02 00:00:00+00:00,51,11,2,1
2026-06-03 00:00:00+00:00,1,1,0,0
2026-06-04 00:00:00+00:00,1,1,0,0
2026-06-05 00:00:00+00:00,1,1,3,1
2026-06-06 00:00:00+00:00,693,82,13,2
2026-06-07 00:00:00+00:00,410,64,19,3
2026-06-08 00:00:00+00:00,664,76,34,3
2026-06-09 00:00:00+00:00,22,9,5,1
2026-06-10 00:00:00+00:00,2,2,9,1
2026-06-11 00:00:00+00:00,17,8,28,2
2026-06-12 00:00:00+00:00,40,10,12,3
2026-06-13 00:00:00+00:00,375,69,13,3
2026-06-14 00:00:00+00:00,188,98,7,1
2026-06-15 00:00:00+00:00,129,57,0,0
2026-06-16 00:00:00+00:00,136,50,3,1
2026-06-17 00:00:00+00:00,60,36,2,1
2026-06-18 00:00:00+00:00,38,12,5,2
2026-06-19 00:00:00+00:00,214,20,37,11
2026-06-20 00:00:00+00:00,213,31,28,17
2026-06-21 00:00:00+00:00,334,50,18,15
2026-06-22 00:00:00+00:00,223,33,29,8
2026-06-23 00:00:00+00:00,329,39,18,6
2026-06-24 00:00:00+00:00,524,52,52,12
2026-06-25 00:00:00+00:00,102,22,26,8
2026-06-26 00:00:00+00:00,19,7,27,7
2026-06-27 00:00:00+00:00,65,13,8,3
2026-06-28 00:00:00+00:00,58,12,4,3
2026-06-29 00:00:00+00:00,37,5,18,5
